,timestamp,tSide_copTem01,eSide_copTem01,eSide_copTem02,eSide_copTem03,eSide_copTem04,tSide_outWin01,tSide_outWin02,eSide_outWin01,eSide_outWin02,AB_Vol,BC_Vol,AC_Vol,pwrNeg,freq,hydPres,pwrPos01,pwrPos02,pwrPos03
26,2022-01-18 01:29:50,74.2821,52.4714,64.5571,56.6995,52.6223,38.2277,39.7439,39.1752,37.533,27.0804,26.989,27.0705,35.2376,50.0012,0.461417,662.386,660.78,660.566
27,2022-01-18 01:30:20,74.4333,52.4714,64.7082,56.6995,52.4714,38.6698,39.9966,39.6807,37.8488,27.1051,27.0508,27.0952,33.0969,50.018,0.462027,662.065,661.102,660.566
28,2022-01-18 01:30:40,74.2821,52.4714,64.5571,56.6995,52.6223,38.2277,39.6175,39.2384,37.4699,27.1051,27.0161,27.0285,35.8799,50.0439,0.461646,661.958,659.389,660.245
29,2022-01-18 01:31:10,74.1308,52.3204,64.5571,56.6995,52.6223,37.9751,39.3648,38.9225,37.1542,27.073,27.0779,27.0557,33.525,50.0447,0.459662,661.102,658.104,658.747
30,2022-01-18 01:31:30,74.2821,52.3204,64.5571,56.6995,52.6223,38.0382,39.5543,39.0489,37.2805,27.0928,27.0582,27.0532,33.9532,50.0386,0.460043,662.707,659.71,659.603
31,2022-01-18 01:31:40,74.2821,52.4714,64.7082,56.6995,52.6223,38.4804,39.9966,39.4911,37.7225,27.0829,27.0433,27.0557,33.7391,50.0142,0.461417,661.53,658.64,660.138
32,2022-01-18 01:32:10,74.2821,52.6223,64.7082,56.6995,52.6223,38.2909,39.6807,39.4279,37.533,27.0928,27.0087,27.0829,32.6686,49.9829,0.461111,660.245,658.747,658.961
33,2022-01-18 01:32:30,74.2821,52.3204,64.5571,56.6995,52.6223,37.9751,39.3648,38.9857,37.1542,27.0582,26.9964,27.0804,29.6715,49.9715,0.460196,661.316,660.459,659.175
34,2022-01-18 01:32:40,74.2821,52.3204,64.5571,56.6995,52.6223,37.9751,39.4279,38.9857,37.1542,27.0977,27.0359,27.0606,28.6012,50.002,0.460348,663.563,658.211,660.245
35,2022-01-18 01:33:00,74.4333,52.4714,64.5571,56.6995,52.6223,38.4172,39.8702,39.4279,37.533,27.115,27.0384,27.0483,31.5983,50.0005,0.461493,660.138,659.389,660.245
